"Type","Ven Nbr","Vendor Address                               ","Remit to                                     ","Contact Info                                 ","Terms","Last PO","Last Payment"
"","","PO Box 156                                   ","                                             ","                                             ","","",""
"","","Grand Island, NE 68802-0156                  ","                                             ","                                             ","","",""
"","509740","GREEN SIGN COMPANY                           ","SAME                                         ","Ph : 800-900-2100                            ","NET 30 DAYS","",""
"","","1045 E FREELAND RD                           ","                                             ","Fax: 812-663-6563                            ","","",""
"","","GREENSBURG, IN 47240                         ","                                             ","                                             ","","",""
"","509760","Greg Nelson Electric                         ","SAME                                         ","Ph : 815-885-3380                            ","NET 30 DAYS","",""
"","","5449 WII-Acre Drive                          ","                                             ","Fax: 815-885-4607                            ","","",""
"","","Loves Park, IL 61111                         ","                                             ","                                             ","","",""
"","509780","Gregory Inc                                  ","SAME                                         ","Dave Gregory                                 ","NET 30 DAYS","",""
"","","200 South Regier Street                      ","                                             ","dgregory@gregory1.com                        ","","",""
"","","P.O. Box 410                                 ","                                             ","Ph : (800) 835-2221 x24                      ","","",""
"","","Buhler, KS 67522                             ","                                             ","Fax: (800) 835-9820                          ","","",""
"","509800","GRIMCO                                       ","SAME                                         ","Melinda.Melena@grimco.com                    ","NET 30 DAYS","25272","Ck #509800"
"","","29538 NETWORK PLACE                          ","                                             ","Ph : 800-542-9941                            ","","7/17/25","7/16/25"
"","","CHICAGO, IL 60673-1295                       ","                                             ","Fax: Melinda.Melena@grimco.com               ","","","4,030.30"
"","509820","Growing Concern/US Coffee & Te               ","SAME                                         ","                                             ","NET 30 DAYS","",""
"","","5140 Park Ave Suite J                        ","                                             ","                                             ","","",""
"","","Des Moines, IA 50321                         ","                                             ","                                             ","","",""
"","509840","Guerrero - Lindsey Sign Compan               ","SAME                                         ","Fernado Guerrero                             ","NET 30 DAYS","",""
"","","531 West Main Street                         ","                                             ","glsigns@xroads.com                           ","","",""
"","","Mesa, AZ 85201                               ","                                             ","Ph : (602) 964-2404                          ","","",""
"","","                                             ","                                             ","Fax: (602) 964-2408                          ","","",""
"","509860","Gulf Coast Sign Co                           ","SAME                                         ","Ph : (800) 768-3549                          ","NET 30 DAYS","",""
"","","1201 North ""P"" St                            ","                                             ","Fax: (850) 432-6367                          ","","",""
"","","Pensacola, FL 32505                          ","                                             ","                                             ","","",""
"","509880","Gyford Productions / StandOff                ","SAME                                         ","Ph : 775-829-7272                            ","NET 30 DAYS","5687","Ck #509880"
"","","891 Trademark Drive                          ","                                             ","Fax: 775-829-1331                            ","","5/2/16","1/21/11"
"","","Reno, NV 89521                               ","                                             ","                                             ","","","189.43"
"","509900","Hamilton Scale Co. Inc.                      ","SAME                                         ","Roy                                          ","NET 30 DAYS","",""
"","","3505 Westway                                 ","                                             ","Ph : 903-561-3091                            ","","",""
"","","Tyler, TX 75703                              ","                                             ","                                             ","","",""
"","509920","HANLEY SIGN CO. INC.                         ","SAME                                         ","LISA TYMCHYN                                 ","NET 30 DAYS","",""
"","","26 SICKER RD.                                ","                                             ","ltymchyn@hanleysign.com                      ","","",""
"","","LATHAM, NY 12110-1586                        ","                                             ","Ph : (518) 783-6183                          ","","",""
"","","                                             ","                                             ","Fax: 518-783-0128                            ","","",""
"","509940","Harlan Laws Corporation                      ","SAME                                         ","Roger Dexter                                 ","NET 30 DAYS","",""
"","","236 North 48th Ave                           ","                                             ","Ph : (602) 233-8750                          ","","",""
"","","Phoenix, AZ 85043                            ","                                             ","Fax: (602) 233-9332                          ","","",""
"","509960","Harlan Laws Corporation                      ","SAME                                         ","Steven Laws                                  ","NET 30 DAYS","",""
"","","304 Muldee Street                            ","                                             ","mbaine1049@aol.com                           ","","",""
"","","Durham, NC 27703                             ","                                             ","Ph : (919) 596-2124                          ","","",""
"","","                                             ","                                             ","Fax: (919) 596-0421                          ","","",""
"","509980","Harmon Sign Company                          ","SAME                                         ","Daniel Kasper                                ","NET 30 DAYS","",""
"","","7844 West Central Avenue                     ","                                             ","harmon.sign@sylvania.sev.org                 ","","",""
"","","Toledo, OH 43617                             ","                                             ","Ph : (419) 841-6656                          ","","",""
"","","                                             ","                                             ","Fax: (419) 841-7160                          ","","",""
"","510020","HARRISON SIGN CO.                            ","SAME                                         ","BOB CARIGNAN                                 ","NET 30 DAYS","",""
"","","801 HWY 62-65 NORTH                          ","                                             ","Signshere@yahoo.com                          ","","",""
"","","P.O. BOX 493                                 ","                                             ","Ph : 870-741-5267                            ","","",""
"","","HARRISON, AR 72602                           ","                                             ","Fax: 870-741-0124                            ","","",""
"","510040","Harry and David                              ","SAME                                         ","Ph : 800-345-5655                            ","NET 30 DAYS","",""
"","","Treasury Operations                          ","                                             ","                                             ","","",""
"","","PO Box 712                                   ","                                             ","                                             ","","",""
"","","Medford, OR 97501-0716                       ","                                             ","                                             ","","",""
"","510060","Hastings Neon Sign Company                   ","SAME                                         ","Tom Bassett                                  ","NET 30 DAYS","",""
"","","106 West South Street                        ","                                             ","Ph : (402) 462-4636                          ","","",""
"","","Hastings, NE 68901                           ","                                             ","Fax: (888) 293-3544                          ","","",""
"","510080","Hav-CutB-Glen MT & DLake-Will                ","SAME                                         ","Ph : (406) 265-5787 (TJ-H                    ","NET 30 DAYS","",""
"","","1110 5th                                     ","                                             ","Fax: (406) 265-2120                          ","","",""
"","","Harve, MT 59501                              ","                                             ","                                             ","","",""
"","510100","Hawaiian Sign & Display                      ","SAME                                         ","Heather Spencer                              ","NET 30 DAYS","",""
"","","45-564 Kam Highway #5                        ","                                             ","Ph : (808) 247-4144                          ","","",""
"","","Kaneohe, HI 96744                            ","                                             ","Fax: (808) 247-7722                          ","","",""
"","510120","Hawk Metal Products Inc                      ","SAME                                         ","Ph : 515-225-3008                            ","NET 30 DAYS","",""
"","","625 S 19th Street                            ","                                             ","Fax: 515-225-7791                            ","","",""
"","","West Des Moines, IA 50265-5507               ","                                             ","                                             ","","",""
"","510140","HAYS SIGNCO                                  ","SAME                                         ","TIM HAYS                                     ","NET 30 DAYS","",""
"","","114 WEST ADAMS AVENUE                        ","                                             ","Timhays@hayssign.com                         ","","",""
"","","PO BOX 1011                                  ","                                             ","Ph : 620-442-1790                            ","","",""
"","","ARKANSAS CITY, KS 67005                      ","                                             ","Fax: 620-442-7446                            ","","",""
"","510160","HealthCare Solutions Inc.                    ","SAME                                         ","Ph : 319-553-0655                            ","NET 30 DAYS","",""
"","","3409 Cedar Heights Drive                     ","                                             ","Fax: 319-553-0660                            ","","",""
"","","P.O. Box 807                                 ","                                             ","                                             ","","",""
"","","Cedar Falls, IA 50613                        ","                                             ","                                             ","","",""
"","510180","HEART OF TEXAS SIGN SERVICE                  ","SAME                                         ","JAMES                                        ","NET 30 DAYS","2736","Ck #510180"
"","","217 W. LANGLEY BLVD.                         ","                                             ","Heartoftx@sbcglobal.net                      ","","6/27/08","7/15/08"
"","","UNIVERSAL CITY, TX 78148                     ","                                             ","Ph : 210-566-7500                            ","","","127.50"
"","","                                             ","                                             ","Fax: 210-566-7503                            ","","",""
"","510200","Heath and Company L.L.C.                     ","SAME                                         ","Timothy O'Donnell                            ","NET 30 DAYS","",""
"","","2525 Walnut Hill Lane Suite 10               ","                                             ","mjech@heathsign.com                          ","","",""
"","","Euless, TX 75229                             ","                                             ","Ph : (817) 685-9075                          ","","",""
"","","                                             ","                                             ","Fax: (817) 685-9050                          ","","",""
"","510220","HECK INC.                                    ","SAME                                         ","Ph : 515-208-1606                            ","NET 30 DAYS","2173","Ck #510220"
"","","700 SE ORALABOR ROAD STE 110                 ","                                             ","Fax: 515-965-5604                            ","","1/16/08","1/22/08"
"","","ANKENY, IA 50021                             ","                                             ","                                             ","","","1,120.50"
"","510240","Hedges Neon Sales                            ","SAME                                         ","Nancy Hedges                                 ","NET 30 DAYS","",""
"","","616 Reynolds                                 ","                                             ","Ph : (785) 827-9341                          ","","",""
"","","Salina, KS 67401                             ","                                             ","Fax: (785) 827-1411                          ","","",""
"","510260","Heller Signs                                 ","SAME                                         ","Tom Wischman                                 ","NET 30 DAYS","",""
"","","191 West Traverse Highway                    ","                                             ","Ph : (616) 941-2010                          ","","",""
"","","Maple City, MI 49664                         ","                                             ","Fax: (616) 276-7778                          ","","",""
"","510280","HENRY SIGN SYSTEMS INC.                      ","SAME                                         ","SHARON JAYNES                                ","NET 30 DAYS","",""
"","","2285 PARK CENTRAL BLVD                       ","                                             ","sjaynes@henrysignsystems.com                 ","","",""
"","","DECATUR, GA 30035                            ","                                             ","Ph : 770-593-1234                            ","","",""
"","","                                             ","                                             ","Fax: 770-593-1533                            ","","",""
"","510300","Herb Dixon & Associates Inc.                 ","SAME                                         ","                                             ","NET 30 DAYS","",""
"","","1413 Fuller Road                             ","                                             ","                                             ","","",""
"","","West Des Moines, IA 50265                    ","                                             ","                                             ","","",""
"","510320","Hewlett-Packard Company                      ","SAME                                         ","Ph : (650) 857-1501                          ","NET 30 DAYS","",""
"","","3000 Hanover St.                             ","                                             ","Fax: (650) 847-5518                          ","","",""
"","","Palo Alto, CA 94304                          ","                                             ","                                             ","","",""
"","510340","High Impact Sign & Design                    ","SAME                                         ","Wayne Daniels                                ","NET 30 DAYS","",""
"","","1250 W Charleston Park Ave Ste               ","                                             ","danny@highimpactsign.com                     ","","",""
"","","Pahrump, NV 89049                            ","                                             ","Ph : 775-727-3800                            ","","",""
"","","                                             ","                                             ","Fax: 775-727-3830                            ","","",""
"","510360","HIGH TECH SIGNS                              ","SAME                                         ","Ph : (800) 482-6603                          ","NET 30 DAYS","4018","Ck #510360"
"","","2165 SEMINOLE TRAIL                          ","                                             ","Fax: (434) 974-6898                          ","","8/28/09","11/5/09"
"","","CHARLOTTESVILLE, VA 22901                    ","                                             ","                                             ","","","358.35"
"","510380","Hilton Displays                              ","SAME                                         ","Mike Patterson                               ","NET 30 DAYS","3388","Ck #510380"
"","","125 Hillside Dr                              ","                                             ","Ph : (864) 233-0401                          ","","1/28/09","1/28/09"
"","","Greensville, SC 29607                        ","                                             ","Fax: (864) 242-2204                          ","","","375.00"
"","510400","HOAREL SIGN COMPANY                          ","SAME                                         ","GARY COX                                     ","NET 30 DAYS","21405","Ck #510400"
"","","819 NORTHEAST 7TH                            ","                                             ","hoarel@am.net                                ","","9/9/22","10/27/22"
"","","AMARILLO, TX 79107                           ","                                             ","Ph : (806) 373-2175                          ","","","1,299.00"
"","","                                             ","                                             ","Fax: (806) 373-2329                          ","","",""
"","510420","Hofer Sign                                   ","SAME                                         ","                                             ","NET 30 DAYS","",""
"","","2704-A 5TH AVE S                             ","                                             ","                                             ","","",""
"","","Fargo, ND 58103                              ","                                             ","                                             ","","",""
"","510440","Home Depot                                   ","SAME                                         ","Store Contact: Valeira Owrey                 ","NET 30 DAYS","",""
"","","4900 SE 14th Street                          ","                                             ","Ph : 515-287-7269                            ","","2/23/15",""
"","","Des Moines, IA 50315                         ","                                             ","                                             ","","",""
"","510460","Horst Sign                                   ","SAME                                         ","Nathan                                       ","NET 30 DAYS","",""
"","","400 W Lincoln AVE                            ","                                             ","Ph : 717-336-7098                            ","","",""
"","","Myerstown, PA 17067                          ","                                             ","                                             ","","",""
"","510480","Hot Springs SD                               ","SAME                                         ","Ph : (605) 745-6880                          ","NET 30 DAYS","",""
"","","1145 Jensen Hwy                              ","                                             ","                                             ","","",""
"","","Hot Springs, SD 57747                        ","                                             ","                                             ","","",""
"","510490","HOUGEN MANUFACTURING                         ","SAME                                         ","LEE 800-426-7818 EXT 217                     ","NET 30 DAYS","",""
"","","3001 HOUGEN DR                               ","                                             ","info@hougen.com                              ","","6/16/09",""
"","","SWARTZ CREEK, MI 48473                       ","                                             ","Ph : 810-635-7111                            ","","",""
"","","                                             ","                                             ","Fax: 810-635-8277                            ","","",""
"","510500","HURON SIGN CO.                               ","SAME                                         ","WILLIAM SHORT                                ","NET 30 DAYS","",""
"","","663 S. MANSFIELD                             ","                                             ","billshort@huronsign.com                      ","","",""
"","","PO BOX 980423                                ","                                             ","Ph : 734-483-2000                            ","","",""
"","","YPSILANTI, MI 48198-0423                     ","                                             ","Fax: 734-483-5164                            ","","",""
"","510520","HUSTON ELECTRIC INC.                         ","SAME                                         ","Ph : 765-457-5966                            ","NET 30 DAYS","5428","Ck #510520"
"","","1915 E NORTH ST                              ","                                             ","                                             ","","10/28/10","12/8/10"
"","","KINDER SIGN DIVISION                         ","                                             ","                                             ","","","349.96"
"","","KOKOMO, IN 46903                             ","                                             ","                                             ","","",""
"","510540","Hutchinson KS                                ","SAME                                         ","Ph : (316) 669-0191                          ","NET 30 DAYS","",""
"","","840 E. Fourth                                ","                                             ","                                             ","","",""
"","","Hutchison, KS 67501                          ","                                             ","                                             ","","",""
"","510560","I/D/E/A INC.                                 ","SAME                                         ","208-459-6357                                 ","NET 30 DAYS","17811","Ck #510560"
"","","1 IDEA WAY                                   ","                                             ","Ph : 800-624-8751                            ","","8/20/19","10/15/19"
"","","CALDWELL, ID 83605-6999                      ","                                             ","Fax: 208-459-6484                            ","","","332.34"
"","510580","ICC General Contractors                      ","SAME                                         ","Ph : 407-349-2183                            ","NET 30 DAYS","",""
"","","3000 W. Osceola Rd.                          ","                                             ","Fax: 407-349-0863                            ","","",""
"","","Geneva, FL 32732                             ","                                             ","                                             ","","",""
"","510600","ICI PAINTS                                   ","SAME                                         ","RORY                                         ","NET 30 DAYS","",""
"","","1220 8TH STREET                              ","                                             ","Ph : 515-223-1540                            ","","6/18/08",""
"","","WEST DES MOINES, IA 50266                    ","                                             ","Fax: 515-223-4887                            ","","",""
"","510620","ID Falls Pocatello                           ","SAME                                         ","Fax: (208) 542-2966                          ","NET 30 DAYS","",""
"","","930 Northgate Mile                           ","                                             ","                                             ","","",""
"","","Idaho Falls, ID 83401                        ","                                             ","                                             ","","",""
"","510640","Ideal Awning & Sign Co.                      ","SAME                                         ","Ph : 903-838-9451                            ","NET 30 DAYS","",""
"","","2021 W. 7th Street                           ","                                             ","                                             ","","",""
"","","Texarkana, TX 75501                          ","                                             ","                                             ","","",""
"","510660","Ideal Floors Inc.                            ","SAME                                         ","Ph : 515-283-0665                            ","NET 30 DAYS","",""
"","","2216 George Flagg Pkwy                       ","                                             ","Fax: 515-283-0641                            ","","",""
"","","Des Moines, IA 50321                         ","                                             ","                                             ","","",""
"","510680","IKON OFFICE SOLUTIONS                        ","SAME                                         ","Ph : (000) 000-0000                          ","NET 10 DAYS","","Ck #510680"
"","","PO BOX 802566                                ","                                             ","                                             ","","","5/17/07"
"","","CHICAGO, IL 60606                            ","                                             ","                                             ","","","416.85"
"","510700","ILIGHT TECHNOLOGIES INC.                     ","SAME                                         ","BRIDGET                                      ","NET 30 DAYS","2671","Ck #510700"
"","","118 SOUTH CLINTON SUITE 370                  ","                                             ","Ph : 714-625-8609                            ","","6/11/08","10/14/15"
"","","CHICAGO, IL 60661                            ","                                             ","Fax: 312-876-8631                            ","","","0.00"
"","510720","Illinois Department of Revenue               ","SAME                                         ","                                             ","NET 30 DAYS","",""
"","","Retailers Occupation Tax                     ","                                             ","                                             ","","",""
"","","Springfield, IL 62796-0001                   ","                                             ","                                             ","","",""
"","510740","Illuminated Image                            ","SAME                                         ","Chris Reeber                                 ","NET 30 DAYS","",""
"","","1825 West U.S. Highway 20                    ","                                             ","creeber@illuminatedimage.com                 ","","",""
"","","Angola, IN 46703                             ","                                             ","Ph : (800) 545-9023                          ","","",""
"","","                                             ","                                             ","Fax: (219) 665-9027                          ","","",""
"","510760","IMAGE ADVERTISING COMPANY                    ","SAME                                         ","TOMMY RICHARDS                               ","NET 30 DAYS","",""
"","","812 WALO. STREET                             ","                                             ","NONE                                         ","","",""
"","","WICHITA, TX 76301                            ","                                             ","Ph : (940) 766-4307                          ","","",""
"","","                                             ","                                             ","Fax: (940) 766-0014                          ","","",""
"","510780","IMAGE DESIGNS INC.                           ","SAME                                         ","ANDY NICHOLSON                               ","NET 30 DAYS","",""
"","","5692 HIGHWAY 90 WEST                         ","                                             ","Imagedesigns@bellsouth.net                   ","","",""
"","","THEODORE, AL 36582                           ","                                             ","Ph : (251) 653-7794                          ","","",""
"","","                                             ","                                             ","Fax: (251) 653-5909                          ","","",""
"","510800","IMAGE NATIONAL INC.                          ","SAME                                         ","DAN COBB CELL: 208-871-5379                  ","NET 30 DAYS","",""
"","","16265 STAR ROAD                              ","                                             ","Dan.cobb@imagenational.com                   ","","",""
"","","NAMPA, ID 83687                              ","                                             ","Ph : 208-287-1966                            ","","",""
"","","                                             ","                                             ","Fax: 208-336-9886                            ","","",""
"","510820","IMAGE SIGN COMPANY                           ","SAME                                         ","BURT HUNTER                                  ","NET 30 DAYS","",""
"","","1878 LUKKEN INDUSTRIAL DR. W                 ","                                             ","imagesign@lagrangemail.com                   ","","",""
"","","LA GRANGE, GA 30240                          ","                                             ","Ph : 706 812 9226                            ","","",""
"","","                                             ","                                             ","Fax: 706 812 9542                            ","","",""
"","510840","IMAGE SIGNS                                  ","SAME                                         ","BOB                                          ","NET 30 DAYS","4057","Ck #510840"
"","","7323 N ALPINE RD                             ","                                             ","Bob@imagesigns.com                           ","","9/10/09","11/5/09"
"","","LOVES PARK, IL 61111                         ","                                             ","Ph : 8152824141                              ","","","720.00"
"","","                                             ","                                             ","Fax: 8152824157                              ","","",""
"","510860","IMAGE SIGNS & NEON                           ","SAME                                         ","DARLENE MARTIN THOMAS                        ","NET 30 DAYS","3292","Ck #510860"
"","","310 S 25TH AVE                               ","                                             ","image@imagesignsandneon.com                  ","","12/18/08","1/16/09"
"","","HATTIESBURG, MS 39401                        ","                                             ","Ph : 601-582-1642                            ","","","481.50"
"","","                                             ","                                             ","Fax: 601-582-2025                            ","","",""
"","510880","IMAGE TRANSFORM LTD.                         ","SAME                                         ","Ph : 515-986-3337                            ","NET 30 DAYS","3741","Ck #510880"
"","","1152 GATEWAY DR                              ","                                             ","Fax: 515-986-5423                            ","","5/22/09","7/9/09"
"","","GRIMES, IA 50111                             ","                                             ","                                             ","","","540.00"
"","510900","Image Works                                  ","SAME                                         ","Emory Clothfeller                            ","NET 30 DAYS","",""
"","","11046 Leadbetter Road                        ","                                             ","eclothfeller@imageworks4signs.com            ","","",""
"","","Ashland, VA 23005                            ","                                             ","Ph : (804) 798-5533                          ","","",""
"","","                                             ","                                             ","Fax: (804) 798-5582                          ","","",""
"","510920","IMPACT GRAPHIX AND SIGNS                     ","SAME                                         ","Ph : 541-548-8544                            ","NET 30 DAYS","1263",""
"","","106 SE EVERGREEN AVE STE E                   ","                                             ","                                             ","","6/19/07",""
"","","REDMOND, OR 97756                            ","                                             ","                                             ","","",""
"","510940","Impact Printing                              ","SAME                                         ","Denise                                       ","NET 30 DAYS","",""
"","","312 Sixth Avenue                             ","                                             ","Ph : 515-244-5668                            ","","",""
"","","Des Moines, IA 50309                         ","                                             ","Fax: 515-244-5669                            ","","",""
"","510960","IMPACT SIGNS, INC.                           ","SAME                                         ","BILL BAKER                                   ","NET 30 DAYS","21051","Ck #510960"
"","","2236 SOUTH 3270 WEST                         ","                                             ","impact@aros.net                              ","","6/14/22","7/26/22"
"","","SUITE 1                                      ","                                             ","Ph : (801) 972-5101                          ","","","4,600.00"
"","","SALT LAKE CITY, UT 84119                     ","                                             ","Fax: (801) 972-2530                          ","","",""
"","510980","Imperial Sign Co.                            ","SAME                                         ","Jim Engle                                    ","NET 30 DAYS","",""
"","","46-120 Calhoun St.                           ","                                             ","impsign1@aol.com                             ","","",""
"","","Indio, CA 92201                              ","                                             ","Ph : (760) 347-3566                          ","","",""
"","","                                             ","                                             ","Fax: (760) 347-0343                          ","","",""
"","511000","Imperial Signs Inc                           ","SAME                                         ","John Lipp                                    ","NET 30 DAYS","",""
"","","1880 Dyess Ave                               ","                                             ","Ph : (800) 588-7151                          ","","",""
"","","Rapid City, SD 57701                         ","                                             ","Fax: (605) 399-2705                          ","","",""
"","511020","Indiana Department of Revenue                ","SAME                                         ","                                             ","NET 30 DAYS","",""
"","","PO Box 7221                                  ","                                             ","                                             ","","",""
"","","Indianapolis, IN 46207-7221                  ","                                             ","                                             ","","",""
"","511040","Indiana Dept of Workforce Deve               ","SAME                                         ","                                             ","NET 30 DAYS","",""
"","","PO Box 7054                                  ","                                             ","                                             ","","",""
"","","Indianapolis, IN 46207-7054                  ","                                             ","                                             ","","",""
"","511060","INDIGO SIGNWORKS                             ","SAME                                         ","CHRIS OLSEN                                  ","NET 30 DAYS","",""
"","","1622 MAIN AVE.                               ","                                             ","Ph : (701) 297-9696                          ","","",""
"","","P.O.BOX 1476                                 ","                                             ","Fax: (701) 297-9697                          ","","",""
"","","FARGO, ND 58103                              ","                                             ","                                             ","","",""
"","511080","Indoff Incorporated                          ","Indoff Incorporated                          ","Orley Brown                                  ","NET 30 DAYS","","Ck #511080"
"","","2712 240th St                                ","P.O. Box 790120                              ","Ph : 515-992-3589                            ","","","9/25/07"
"","","St. Louis, MO 63146                          ","St. Louis, MO 63179-0120                     ","Fax: 515-992-3182                            ","","","522.14"
"","511100","Industrial Signs                             ","SAME                                         ","William Hunter                               ","NET 30 DAYS","",""
"","","4928 Mehurin Street                          ","                                             ","indsign@bellsouth.net                        ","","",""
"","","New Orleans, LA 70121                        ","                                             ","Ph : (504) 736-0600                          ","","",""
"","","                                             ","                                             ","Fax: (504) 736-9285                          ","","",""
"","511120","Industrial Signs & Neon Inc                  ","SAME                                         ","Dave Kerals                                  ","NET 30 DAYS","",""
"","","101 S. Villa                                 ","                                             ","Ph : (405) 236-5599                          ","","",""
"","","OK City, OK 73107                            ","                                             ","Fax: (405) 236-5566                          ","","",""
"","511140","Innovative Media Resources                   ","SAME                                         ","                                             ","NET 30 DAYS","",""
"","","PO Box 30031                                 ","                                             ","                                             ","","",""
"","","Des Moines, IA 50310                         ","                                             ","                                             ","","",""
"","511160","Innovative Sign & Graphics                   ","SAME                                         ","                                             ","NET 30 DAYS","",""
"","","801 19th St. SW                              ","                                             ","                                             ","","",""
"","","Austin, MN 55912                             ","                                             ","                                             ","","",""
"","511180","INSIGHT                                      ","INSIGHT                                      ","                                             ","NET 30 DAYS","6665","Ck #511180"
"","","6820 S. HART AVE.                            ","PO BOX 731069                                ","                                             ","","9/26/11","10/11/11"
"","","TEMPE, AZ 85283-4318                         ","DALLAS, TX 75373-1069                        ","                                             ","","","162.36"
"","511200","Integrated Systems Engineering               ","SAME                                         ","Carrie Thimmes                               ","NET 30 DAYS","",""
"","","1850 North 600 West                          ","                                             ","Ph : (800) 543-7904                          ","","",""
"","","Logan, UT 84321                              ","                                             ","Fax: (435) 753-2975                          ","","",""
"","511220","Integris Metals                              ","SAME                                         ","Richard                                      ","NET 30 DAYS","",""
"","","PO Box 915129                                ","                                             ","Ph : 816-200-1000                            ","","",""
"","","Dallas, TX 75391-5129                        ","                                             ","                                             ","","",""
"","511240","Integrity Sign                               ","SAME                                         ","Mark or Kenny Integrity                      ","NET 30 DAYS","",""
"","","6125 Anno Ave.                               ","                                             ","integritysigns@bellsouth.net                 ","","",""
"","","Orlando, FL 32809                            ","                                             ","Ph : 407-855-1928                            ","","",""
"","","                                             ","                                             ","Fax: 407-850-6030                            ","","",""
"","511260","INTERMOUNTAIN ELECTRIC                       ","SAME                                         ","JAY BINGHAM                                  ","NET 30 DAYS","",""
"","","2924 PENNSYLVANIA AVE                        ","                                             ","Jay@intermountainelectricsigns.com           ","","5/27/11",""
"","","OGDEN, UT 84401                              ","                                             ","Ph : (801) 621-4612                          ","","",""
"","","                                             ","                                             ","Fax: (801) 621-8858                          ","","",""
"","511280","International Designs LTD                    ","SAME                                         ","Mark Warner                                  ","NET 30 DAYS","",""
"","","70 Commerce Drive                            ","                                             ","Ph : (800) 833-2522                          ","","",""
"","","Warmister, PA 18974-3100                     ","                                             ","Fax: (717) 724-7989                          ","","",""
"","511300","International Utility Speciali               ","SAME                                         ","Ph : 515-267-0707                            ","NET 30 DAYS","",""
"","","1502 NW 81st Street                          ","                                             ","Fax: 515-267-0808                            ","","",""
"","","Des Moines, IA 50325                         ","                                             ","                                             ","","",""
"","511320","INTERSTATE ALL BATTERY CENTER                ","SAME                                         ","Ph : (515) 255-9572                          ","NET 30 DAYS","15591","Ck #511320"
